material_id,formula_pretty,density,energy_per_atom,efermi,energy_above_hull,band_gap,e_total,formula,data.Sᵉ.p.v.value,data.Sᵉ.p.T.value,data.σᵉ.p.v.value,data.σᵉ.p.T.value,data.κₑᵉ.p.v.value,data.κₑᵉ.p.T.value,ZT
mp-19034,Mg3V2O8,3.354741762,-7.571671167,1.61575135,0,3.3068,9.653072323,Mg3V2O8,1258.66,1200,811.801,100,0.142997,100,0.085358365
mp-22856,Bi2S3,6.478231083,-4.68184903,4.14431336,0,1.3618,63.63719022,Bi2S3,1095.41,600,2343.24,100,0.326638,100,0.046684423
mp-8232,BaZrF6,4.514124229,-6.87248139,-2.05106418,0,5.9273,11.82214132,BaZrF6,1340.2,1300,981.868,100,0.190116,100,0.094328616
mp-27828,Cs2TiCl6,2.963362056,-4.552943218,-0.71263014,0,2.2291,8.6538493,Cs2TiCl6,1235.7,800,897.489,100,0.151524,100,0.061312968
mp-759069,B(HO)3,1.502911705,-6.381443279,-2.70641352,0.00255615,6.0809,2.807683157,B(HO)3,1316.82,1300,248.462,100,0.0275643,100,0.158940887
mp-23023,LaBrO,5.900493871,-7.252163562,4.08470138,0,3.7256,14.0860314,LaBrO,1261.98,1300,2118.48,100,0.47038,100,0.072937397
mp-768907,Sr3TeO6,5.179925351,-6.517277445,2.4561447,0.022140138,3.0594,15.63774241,Sr3TeO6,1296.16,1100,889.698,100,0.173932,100,0.075735979
mp-18168,TlZnPO4,5.448736771,-6.344897569,1.38822829,0,3.8996,13.90225365,TlZnPO4,1255.84,1300,614.965,100,0.0892461,300,0.125244088
mp-865101,NaLi2Bi,4.737795744,-2.742992588,2.95059355,0,0.3251,25.37045973,NaLi2Bi,872.912,200,9274.32,1300,1.47401,100,0.052002125
mp-865101,NaLi2Bi,4.737795744,-2.742992588,2.95059355,0,0.3251,25.37045973,NaLi2Bi,872.912,200,9274.32,1300,1.47401,100,0.052002125
mp-30284,HgAsO3,6.488267457,-5.326915277,0.35074594,0,1.2351,13.69774979,HgAsO3,1045.29,500,3504.28,100,0.748795,100,0.024265321
mp-761036,CdSeO4,4.646706061,-5.351390517,-0.08181014,0,1.6838,10.31602154,CdSeO4,1140.32,700,1393.15,100,0.28117,100,0.039310035
mp-675022,CsPbCl3,3.936450729,-3.908291924,0.59343321,0.011752995,2.6799,38.41741134,CsPbCl3,911.214,1100,8054.61,100,2.10137,100,0.028048177
mp-28413,Na2(GaSb)3,4.717965588,-3.353283804,3.58945093,0,0.683,25.52395678,Na2(GaSb)3,552.295,100,5324.88,100,2.85581,100,0.001156705
mp-4979,AlCuS2,3.435993537,-5.089870561,5.01165731,0,1.6918,8.676691023,AlCuS2,1161.39,700,1978.44,100,0.580179,100,0.028063258
mp-2667,CsAu,6.514133851,-2.39192245,1.12257061,0,1.0233,10.20522548,CsAu,778.017,600,7974.69,100,2.13566,100,0.012258248
mp-23326,Ca4Cl6O,2.58124469,-5.083842272,1.12461196,0,5.2239,11.28487406,Ca4Cl6O,1266.48,1300,806.299,100,0.0833139,700,0.220990274
mp-559377,IOF3,3.7270444,-4.089713606,-1.0899979,0,3.637,6.65671048,IOF3,1268.65,1300,980.441,100,0.233087,100,0.068842535
mp-7610,Li2CaSiO4,2.862343996,-6.91044499,2.02386337,0.004956161,5.1897,10.3346372,Li2CaSiO4,1306.9,1300,898.698,100,0.177599,100,0.087887634
mp-554791,RuO4,2.920827691,-6.995222994,-3.06285658,0,2.2052,2.772858653,RuO4,1291.96,800,391.751,100,0.0430232,700,0.164855735
mp-16031,Sn3N4,7.164964738,-6.469008936,7.87746255,0.013090387,0.2344,18.37808464,Sn3N4,1047.8,100,7799.09,1300,0.584041,100,0.149082676
mp-971787,VBr2,4.065954415,-5.328173077,2.33316968,0,0.9317,5.05853435,VBr2,1195.5,400,546.547,100,0.0866126,100,0.03668389
mp-551135,BaCuB2O5,4.066481627,-7.492341373,1.89780508,0.027751538,0.5047,9.255947967,BaCuB2O5,1056.19,200,935.217,1300,0.109217,100,0.103610739
mp-567655,Sr2C(NCl)2,3.124749364,-6.570548317,1.08433203,0,4.202,7.7150891,Sr2C(NCl)2,1262.57,1300,1111.88,100,0.18309,100,0.098440548
mp-541190,Cs2LiVO4,4.020440715,-6.440591502,0.11328535,0,3.9955,8.9248207,Cs2LiVO4,1294.93,1300,457.461,100,0.070232,100,0.111066074
mp-676561,Ag3SI,6.417371315,-3.08771653,2.58218914,0.065723314,0.333,16.91466221,Ag3SI,935.873,200,3625.69,1300,0.456484,100,0.07545664
mp-3881,BaZnF4,4.890456817,-5.197911964,-1.18693553,0,4.5489,25.15932208,BaZnF4,1262.81,1300,1294.16,100,0.170498,100,0.123087657
mp-559256,La4S3NCl3,4.690021412,-6.745368099,5.12743511,0,2.9165,18.00673726,La4S3NCl3,1193.16,1100,2512.86,100,0.408371,100,0.07720273
mp-22971,SbSBr,4.312449749,-4.089356466,2.46687697,0,1.7767,105.1537341,SbSBr,1179.17,700,1454.33,100,0.378153,300,0.039876725
mp-4182,CrAgS2,5.029493242,-5.917073263,4.18093084,0.003569692,0.7287,22.0179009,CrAgS2,1068.36,300,3562.58,1300,0.6219,100,0.075354079
mp-626534,H3NO,1.397382307,-5.208242629,0.32239351,0.36716581,3.8407,7.266612307,H3NO,1256.16,1300,778.074,100,0.150431,100,0.082993347
mp-541236,Na5HfAs3,3.836677296,-3.976150592,1.84918181,0,0.8394,16.05735011,Na5HfAs3,1049.35,400,2389.43,100,0.494541,100,0.021640263
mp-22450,Li2PbO3,6.684437017,-5.517568567,2.80536434,0,1.1199,30.81237459,Li2PbO3,1229.66,400,1787.92,100,0.390184,100,0.028182434
